timestamp,track_id,class_name,x1,y1,x2,y2,speed,direction
1748782721.901937,82,car,872,382,924,443,0.00,0.0
1748782721.954141,41,person,881,423,986,629,1.50,180.0
1748782721.954141,88,person,437,347,562,652,5.41,-56.3
1748782721.954141,17,bus,424,256,678,530,12.09,-82.9
1748782721.954141,99,car,283,444,411,551,4.74,-18.4
1748782721.954141,101,person,790,391,880,649,3.00,90.0
1748782721.954141,104,bicycle,806,537,876,684,1.50,-90.0
1748782721.954141,112,person,634,382,729,661,4.74,-108.4
1748782721.954141,113,car,146,418,283,595,9.12,-9.5
1748782721.954141,115,car,32,363,155,648,6.18,-14.0
1748782721.954141,110,bicycle,648,531,723,695,4.50,90.0
1748782721.954141,100,person,1055,428,1108,564,1.50,-90.0
1748782721.954141,82,car,871,382,922,444,4.74,161.6
1748782722.011389,41,person,880,423,985,629,3.00,180.0
1748782722.011389,88,person,438,331,565,643,37.98,-80.9
1748782722.011389,17,bus,417,255,683,541,15.30,101.3
1748782722.011389,99,car,284,443,414,551,6.18,-14.0
1748782722.011389,101,person,789,390,880,651,2.12,135.0
1748782722.011389,104,bicycle,806,541,874,683,5.41,123.7
1748782722.011389,112,person,636,385,727,649,13.50,-90.0
1748782722.011389,113,car,153,418,288,593,18.25,-9.5
1748782722.011389,115,car,33,366,161,646,10.61,8.1
1748782722.011389,110,bicycle,648,524,726,695,11.42,-66.8
1748782722.011389,82,car,865,380,920,444,12.37,-166.0
1748782722.063613,41,person,881,424,984,628,0.00,0.0
1748782722.063613,88,person,443,334,566,637,10.06,-26.6
1748782722.063613,17,bus,411,256,696,566,40.39,74.9
1748782722.063613,99,car,288,442,418,550,12.37,-14.0
1748782722.063613,101,person,789,391,879,648,3.35,-116.6
1748782722.063613,104,bicycle,804,531,875,680,19.56,-94.4
1748782722.063613,112,person,640,388,729,645,9.12,-9.5
1748782722.063613,113,car,164,418,294,590,25.89,-10.0
1748782722.063613,115,car,38,369,172,642,24.05,-3.6
1748782722.063613,110,bicycle,649,517,728,691,17.10,-74.7
1748782722.063613,82,car,870,381,919,438,9.60,-51.3
1748782722.114466,41,person,881,422,984,628,3.00,-90.0
1748782722.114466,88,person,447,345,567,639,20.89,69.0
1748782722.114466,17,bus,411,256,700,574,13.42,63.4
1748782722.114466,99,car,291,442,423,550,12.00,0.0
1748782722.114466,101,person,790,388,881,646,8.75,-59.0
1748782722.114466,104,bicycle,804,522,877,678,16.77,-79.7
1748782722.114466,112,person,644,389,733,644,12.00,0.0
1748782722.114466,113,car,172,416,300,588,21.84,-15.9
1748782722.114466,115,car,39,368,181,640,15.66,-16.7
1748782722.114466,110,bicycle,650,511,730,685,18.55,-76.0
1748782722.114466,82,car,865,380,916,440,12.09,172.9
1748782722.114466,127,bicycle,454,514,523,673,0.00,0.0
1748782722.168381,41,person,881,422,984,628,0.00,0.0
1748782722.168381,88,person,449,349,567,640,8.08,68.2
1748782722.168381,17,bus,411,256,701,576,3.35,63.4
1748782722.168381,99,car,292,441,425,550,4.74,-18.4
1748782722.168381,101,person,791,386,881,645,4.74,-71.6
1748782722.168381,104,bicycle,803,519,878,677,6.00,-90.0
1748782722.168381,112,person,645,390,735,643,4.50,0.0
1748782722.168381,113,car,175,415,301,587,6.71,-26.6
